🧠 ECAN-Style Attention Metrics Extraction
==========================================
Starting ECAN-style attention metrics extraction at 2025-07-10T05:45:22Z

📊 Analyzing cognitive workload distribution...
  GGML/Tensor File: LinkColumn.h -> Attention: 100
  GGML/Tensor File: TransposeColumn.h -> Attention: 100
  GGML/Tensor File: ConclusionOfLink.h -> Attention: 100
  GGML/Tensor File: RuleLink.h -> Attention: 100
  GGML/Tensor File: VardeclOfLink.h -> Attention: 100
  GGML/Tensor File: PremiseOfLink.h -> Attention: 100
  GGML/Tensor File: PureExecLink.h -> Attention: 100
  GGML/Tensor File: ThreadJoinLink.h -> Attention: 100
  GGML/Tensor File: ExecuteThreadedLink.h -> Attention: 100
  GGML/Tensor File: ParallelLink.h -> Attention: 100
  GGML/Tensor File: JoinLink.h -> Attention: 100
  GGML/Tensor File: CountTruthValue.h -> Attention: 100
  GGML/Tensor File: TruthValue.h -> Attention: 100
  GGML/Tensor File: SimpleTruthValue.h -> Attention: 100
  GGML/Tensor File: FormulaTruthValue.h -> Attention: 100
  GGML/Tensor File: StreamValue.h -> Attention: 100
  GGML/Tensor File: ContainerValue.h -> Attention: 100
  GGML/Tensor File: LinkValue.h -> Attention: 100
  GGML/Tensor File: LinkStreamValue.h -> Attention: 100
  GGML/Tensor File: FutureStream.h -> Attention: 100
  GGML/Tensor File: FormulaStream.h -> Attention: 100
  GGML/Tensor File: QueueValue.h -> Attention: 100
  GGML/Tensor File: UnisetValue.h -> Attention: 100
  GGML/Tensor File: FloatValue.h -> Attention: 100
  GGML/Tensor File: Value.h -> Attention: 100
  GGML/Tensor File: VoidValue.h -> Attention: 100
  GGML/Tensor File: BoolValue.h -> Attention: 100
  GGML/Tensor File: ValueFactory.h -> Attention: 100
  GGML/Tensor File: StringValue.h -> Attention: 100
  GGML/Tensor File: RandomStream.h -> Attention: 100
  GGML/Tensor File: Exec_CWrapper.h -> Attention: 67
  GGML/Tensor File: TruthValue_CWrapper.h -> Attention: 100
  GGML/Tensor File: Value_CWrapper.h -> Attention: 100
  GGML/Tensor File: PatternMatcher_CWrapper.h -> Attention: 91
  GGML/Tensor File: AtomSpace_CWrapper.h -> Attention: 100
  GGML/Tensor File: GenericEval.h -> Attention: 100
  GGML/Tensor File: Transient.h -> Attention: 97
  GGML/Tensor File: TypeIndex.h -> Attention: 100
  GGML/Tensor File: version.h -> Attention: 98
  GGML/Tensor File: AtomSpace.h -> Attention: 100
  GGML/Tensor File: Frame.h -> Attention: 100
  GGML/Tensor File: SchemeModule.h -> Attention: 100
  GGML/Tensor File: SchemePrimitive.h -> Attention: 100
  GGML/Tensor File: SchemeEval.h -> Attention: 100
  GGML/Tensor File: SchemeSmob.h -> Attention: 100
  GGML/Tensor File: ContinuationMixin.h -> Attention: 100
  GGML/Tensor File: Satisfier.h -> Attention: 100
  GGML/Tensor File: SatisfyMixin.h -> Attention: 63
  GGML/Tensor File: Recognizer.h -> Attention: 100
  GGML/Tensor File: RewriteMixin.h -> Attention: 100
  GGML/Tensor File: PatternMatchEngine.h -> Attention: 100
  GGML/Tensor File: InitiateSearchMixin.h -> Attention: 100
  GGML/Tensor File: Implicator.h -> Attention: 100
  GGML/Tensor File: TermMatchMixin.h -> Attention: 100
  GGML/Tensor File: PatternMatchCallback.h -> Attention: 100
  GGML/Tensor File: PythonEval.h -> Attention: 100
  GGML/Tensor File: load-file.h -> Attention: 100
  GGML/Tensor File: Utilities.h -> Attention: 100
  GGML/Tensor File: ExecuteStub.h -> Attention: 94
  GGML/Tensor File: PyScheme.h -> Attention: 94
  GGML/Tensor File: Context.h -> Attention: 71
  GGML/Tensor File: PyIncludeWrapper.h -> Attention: 26
  GGML/Tensor File: CamlWrap.h -> Attention: 100
  GGML/Tensor File: ExampleSCM.h -> Attention: 53
  GGML/Tensor File: Carbon14Node.h -> Attention: 100
  GGML/Tensor File: ShellModule.h -> Attention: 70
  GGML/Tensor File: PythonShellModule.h -> Attention: 100
  GGML/Tensor File: SchemeShell.h -> Attention: 87
  GGML/Tensor File: PythonShell.h -> Attention: 95
  GGML/Tensor File: SexprShell.h -> Attention: 56
  GGML/Tensor File: TopEval.h -> Attention: 89
  GGML/Tensor File: JsonShell.h -> Attention: 55
  GGML/Tensor File: TopShell.h -> Attention: 71
  GGML/Tensor File: PythonModule.h -> Attention: 100
  GGML/Tensor File: PyRequest.h -> Attention: 100
  GGML/Tensor File: ShutdownRequest.h -> Attention: 41
  GGML/Tensor File: ModuleManagement.h -> Attention: 50
  GGML/Tensor File: BuiltinRequestsModule.h -> Attention: 100
  GGML/Tensor File: Request.h -> Attention: 100
  GGML/Tensor File: WebServer.h -> Attention: 57
  GGML/Tensor File: ModuleManager.h -> Attention: 100
  GGML/Tensor File: ServerConsole.h -> Attention: 100
  GGML/Tensor File: Factory.h -> Attention: 100
  GGML/Tensor File: RequestManager.h -> Attention: 100
  GGML/Tensor File: CogServer.h -> Attention: 100
  GGML/Tensor File: RequestClassInfo.h -> Attention: 90
  GGML/Tensor File: Module.h -> Attention: 100
  GGML/Tensor File: BaseServer.h -> Attention: 96
  GGML/Tensor File: ThruCommands.h -> Attention: 100
  GGML/Tensor File: ReadThruProxy.h -> Attention: 89
  GGML/Tensor File: WriteThruProxy.h -> Attention: 87
  GGML/Tensor File: Proxy.h -> Attention: 58
  GGML/Tensor File: GenericShell.h -> Attention: 100
  GGML/Tensor File: ConsoleSocket.h -> Attention: 100
  GGML/Tensor File: ServerSocket.h -> Attention: 100
  GGML/Tensor File: NetworkServer.h -> Attention: 100
  GGML/Tensor File: ExampleModule.h -> Attention: 62
  GGML/Tensor File: EmergentPhenomenaObserver.h -> Attention: 100
  GGML/Tensor File: MultiAgentStressTest.h -> Attention: 100
  GGML/Tensor File: TensorHypergraphProtocol.h -> Attention: 100
  GGML/Tensor File: DistributedAtomSpaceSync.h -> Attention: 100
  GGML/Tensor File: SharedHypergraphContext.h -> Attention: 100
  GGML/Tensor File: CognitiveAgent.h -> Attention: 100
  GGML/Tensor File: ECANResourceManager.h -> Attention: 100
📈 Cognitive Workload Distribution:
  - C++/Native Processing: 0% (0 units)
  - Scheme/Symbolic Logic: 54% (32255 units)
  - GGML/Tensor Operations: 45% (27082 units)
  - Total Files Analyzed: 649
  - Total Attention Units: 59337

🔥 Detecting Attention Hotspots...
  🌟 High-attention file: neural-symbolic-tutorial.scm (attention: 100)
  🌟 High-attention file: tensor-kernel.scm (attention: 100)
  🌟 High-attention file: advanced-tensor-bridge.scm (attention: 100)
  🌟 High-attention file: perceptual-input.scm (attention: 100)
  🌟 High-attention file: emergent-patterns.scm (attention: 100)
  🌟 High-attention file: cognitive-visualization-bridge.scm (attention: 100)
  🌟 High-attention file: agentic-catalog.scm (attention: 100)
  🌟 High-attention file: test-agentic-catalog.scm (attention: 100)
  🌟 High-attention file: bool-library-test.scm (attention: 100)
  🌟 High-attention file: math-library-test.scm (attention: 100)
  🌟 High-attention file: element-of-test.scm (attention: 95)
  🌟 High-attention file: grant-test.scm (attention: 100)
  🌟 High-attention file: condlink.scm (attention: 100)
  🌟 High-attention file: put-nested.scm (attention: 100)
  🌟 High-attention file: quotations.scm (attention: 100)
  🌟 High-attention file: put-tricky.scm (attention: 100)
  🌟 High-attention file: present-test.scm (attention: 99)
  🌟 High-attention file: split-test.scm (attention: 100)
  🌟 High-attention file: filter-link.scm (attention: 100)
  🌟 High-attention file: set-value-flow.scm (attention: 100)
  🌟 High-attention file: formulas.scm (attention: 100)
  🌟 High-attention file: filter-rule-test.scm (attention: 100)
  🌟 High-attention file: string-of-test.scm (attention: 100)
  🌟 High-attention file: filter-glob-test.scm (attention: 100)
  🌟 High-attention file: set-tv-flow.scm (attention: 100)
  🌟 High-attention file: concatenate-test.scm (attention: 85)
  🌟 High-attention file: filter-strings-test.scm (attention: 87)
  🌟 High-attention file: futures.scm (attention: 100)
  🌟 High-attention file: filter-float-test.scm (attention: 100)
  🌟 High-attention file: filter-value-test.scm (attention: 100)
  🌟 High-attention file: increment-value-test.scm (attention: 100)
  🌟 High-attention file: dynamic.scm (attention: 100)
  🌟 High-attention file: collection-of-test.scm (attention: 100)
  🌟 High-attention file: hash.scm (attention: 100)
  🌟 High-attention file: sexpr-query-test.scm (attention: 100)
  🌟 High-attention file: datalog-basic-test.scm (attention: 94)
  🌟 High-attention file: defined-schema.scm (attention: 100)
  🌟 High-attention file: transpose-column-test.scm (attention: 100)
  🌟 High-attention file: float-column-test.scm (attention: 100)
  🌟 High-attention file: sexpr-column-test.scm (attention: 100)
  🌟 High-attention file: random-choice.scm (attention: 100)
  🌟 High-attention file: rule-test.scm (attention: 100)
  🌟 High-attention file: threaded.scm (attention: 86)
  🌟 High-attention file: parallel.scm (attention: 82)
  🌟 High-attention file: true-join.scm (attention: 100)
  🌟 High-attention file: join.scm (attention: 100)
  🌟 High-attention file: blue-sky.scm (attention: 100)
  🌟 High-attention file: gpn-join.scm (attention: 77)
  🌟 High-attention file: gpn-container.scm (attention: 100)
  🌟 High-attention file: deep-space-test.scm (attention: 100)
  🌟 High-attention file: cover-incoming-test.scm (attention: 100)
  🌟 High-attention file: cover-delete-test.scm (attention: 100)
  🌟 High-attention file: cover-basic-delete-test.scm (attention: 100)
  🌟 High-attention file: recover-stack-test.scm (attention: 100)
  🌟 High-attention file: cover-basic-test.scm (attention: 100)
  🌟 High-attention file: cover-space-test.scm (attention: 100)
  🌟 High-attention file: frame-incoming-test.scm (attention: 100)
  🌟 High-attention file: recover-test.scm (attention: 100)
  🌟 High-attention file: scm-opencog-test-runner-fail.scm (attention: 93)
  🌟 High-attention file: as-of-atom.scm (attention: 100)
  🌟 High-attention file: scm-python-arity.scm (attention: 100)
  🌟 High-attention file: scm-python-shared-atomspace.scm (attention: 100)
  🌟 High-attention file: scm-opencog-test-runner-pass.scm (attention: 93)
  🌟 High-attention file: pm.scm (attention: 100)
  🌟 High-attention file: inline-values.scm (attention: 98)
  🌟 High-attention file: copy-atom-test.scm (attention: 100)
  🌟 High-attention file: typedefs.scm (attention: 100)
  🌟 High-attention file: buggy-link.scm (attention: 100)
  🌟 High-attention file: stackmore-u-o.scm (attention: 100)
  🌟 High-attention file: deduct-einstein.scm (attention: 100)
  🌟 High-attention file: group-by-test.scm (attention: 100)
  🌟 High-attention file: glob-basic.scm (attention: 100)
  🌟 High-attention file: quote-nest.scm (attention: 98)
  🌟 High-attention file: arcana-repeat.scm (attention: 100)
  🌟 High-attention file: dot-identical-test.scm (attention: 100)
  🌟 High-attention file: stackmore-u-u.scm (attention: 100)
  🌟 High-attention file: stackmore-o-uu.scm (attention: 100)
  🌟 High-attention file: test_types.scm (attention: 100)
  🌟 High-attention file: quote-gpn.scm (attention: 80)
  🌟 High-attention file: dot-mashup-test.scm (attention: 100)
  🌟 High-attention file: dot-lambda-test.scm (attention: 95)
  🌟 High-attention file: present.scm (attention: 83)
  🌟 High-attention file: absent-multi.scm (attention: 100)
  🌟 High-attention file: greater-compute.scm (attention: 100)
  🌟 High-attention file: choice-top-nest.scm (attention: 100)
  🌟 High-attention file: eval-var.scm (attention: 100)
  🌟 High-attention file: choice-constant.scm (attention: 100)
  🌟 High-attention file: get-link-eval.scm (attention: 84)
  🌟 High-attention file: greater_than.scm (attention: 100)
  🌟 High-attention file: glob-pivot.scm (attention: 74)
  🌟 High-attention file: sudoku-rules.scm (attention: 100)
  🌟 High-attention file: var-type-not.scm (attention: 100)
  🌟 High-attention file: sat-named.scm (attention: 100)
  🌟 High-attention file: glob-nest.scm (attention: 100)
  🌟 High-attention file: unordered-jswiergo.scm (attention: 100)
  🌟 High-attention file: eval-default-tv.scm (attention: 100)
  🌟 High-attention file: buggy-stack.scm (attention: 100)
  🌟 High-attention file: sparse-rinf.scm (attention: 100)
  🌟 High-attention file: buggy-not.scm (attention: 100)
  🌟 High-attention file: unordered-more.scm (attention: 100)
  🌟 High-attention file: choice-embed-disco.scm (attention: 100)
  🌟 High-attention file: or-eval-test.scm (attention: 100)
  🌟 High-attention file: or-bind-test.scm (attention: 100)
  🌟 High-attention file: unordered-embed.scm (attention: 100)
  🌟 High-attention file: unify-test.scm (attention: 100)
  🌟 High-attention file: implication-introduction.scm (attention: 100)
  🌟 High-attention file: virtual.scm (attention: 93)
  🌟 High-attention file: stackmore-o-o.scm (attention: 100)
  🌟 High-attention file: glob-multi-pivot.scm (attention: 100)
  🌟 High-attention file: deduct-rules.scm (attention: 100)
  🌟 High-attention file: quote-greater.scm (attention: 100)
  🌟 High-attention file: unordered-odo-couplayer.scm (attention: 100)
  🌟 High-attention file: sudoku-simple.scm (attention: 100)
  🌟 High-attention file: recognizer.scm (attention: 100)
  🌟 High-attention file: buggy-equal.scm (attention: 100)
  🌟 High-attention file: get-link-embed.scm (attention: 100)
  🌟 High-attention file: stackmore-o-u.scm (attention: 100)
  🌟 High-attention file: get-link-equal.scm (attention: 100)
  🌟 High-attention file: choice-disconnected.scm (attention: 100)
  🌟 High-attention file: sparse.scm (attention: 100)
  🌟 High-attention file: deduct-trivial.scm (attention: 73)
  🌟 High-attention file: sequence.scm (attention: 100)
  🌟 High-attention file: recursive-test.scm (attention: 100)
  🌟 High-attention file: multi-space-test.scm (attention: 100)
  🌟 High-attention file: scope-confound.scm (attention: 100)
  🌟 High-attention file: absent-pets.scm (attention: 71)
  🌟 High-attention file: constant-scope.scm (attention: 87)
  🌟 High-attention file: evaluation.scm (attention: 100)
  🌟 High-attention file: no-exception.scm (attention: 100)
  🌟 High-attention file: dot-choice-test.scm (attention: 100)
  🌟 High-attention file: stackmore-u-uu.scm (attention: 100)
  🌟 High-attention file: or-more-test.scm (attention: 100)
  🌟 High-attention file: unordered-odo-distinct.scm (attention: 100)
  🌟 High-attention file: choice-nest.scm (attention: 100)
  🌟 High-attention file: sparse-react.scm (attention: 100)
  🌟 High-attention file: choice-embed.scm (attention: 100)
  🌟 High-attention file: formula-predicate.scm (attention: 100)
  🌟 High-attention file: signature-test.scm (attention: 100)
  🌟 High-attention file: unordered-odo-couple.scm (attention: 100)
  🌟 High-attention file: disconnected.scm (attention: 100)
  🌟 High-attention file: choice-double.scm (attention: 100)
  🌟 High-attention file: scope-quote.scm (attention: 100)
  🌟 High-attention file: scope-search.scm (attention: 100)
  🌟 High-attention file: always-more.scm (attention: 100)
  🌟 High-attention file: exec-lambda-get.scm (attention: 100)
  🌟 High-attention file: match-link.scm (attention: 100)
  🌟 High-attention file: choice-compound.scm (attention: 100)
  🌟 High-attention file: no-exception-analysis.scm (attention: 90)
  🌟 High-attention file: finite-state-machine.scm (attention: 100)
  🌟 High-attention file: or-link-test.scm (attention: 100)
  🌟 High-attention file: unordered-exhaust.scm (attention: 100)
  🌟 High-attention file: stackmany-o-u.scm (attention: 100)
  🌟 High-attention file: absent.scm (attention: 100)
  🌟 High-attention file: get-link.scm (attention: 100)
  🌟 High-attention file: unordered-odometer.scm (attention: 100)
  🌟 High-attention file: unordered-odo-below.scm (attention: 100)
  🌟 High-attention file: unordered-odo-equal.scm (attention: 100)
  🌟 High-attention file: always.scm (attention: 100)
  🌟 High-attention file: buggy-equal-arithmetic.scm (attention: 95)
  🌟 High-attention file: sudoku-puzzle.scm (attention: 100)
  🌟 High-attention file: quote-quote.scm (attention: 100)
  🌟 High-attention file: glob-partition.scm (attention: 91)
  🌟 High-attention file: seq-absence.scm (attention: 100)
  🌟 High-attention file: choice-link.scm (attention: 100)
  🌟 High-attention file: define.scm (attention: 100)
  🌟 High-attention file: marginals-test.scm (attention: 100)
  🌟 High-attention file: buggy-selfgnd.scm (attention: 100)
  🌟 High-attention file: unordered-odo-layer.scm (attention: 100)
  🌟 High-attention file: seq-presence.scm (attention: 100)
  🌟 High-attention file: sparse-react-ordered.scm (attention: 100)
  🌟 High-attention file: unordered-odo-indistinct.scm (attention: 100)
  🌟 High-attention file: present-virtual.scm (attention: 96)
  🌟 High-attention file: buggy-crime.scm (attention: 100)
  🌟 High-attention file: dot-product-test.scm (attention: 100)
  🌟 High-attention file: deduct-keep.scm (attention: 100)
  🌟 High-attention file: substitution.scm (attention: 100)
  🌟 High-attention file: classical-boolean.scm (attention: 100)
  🌟 High-attention file: meet-link-value-test.scm (attention: 100)
  🌟 High-attention file: sparse-list.scm (attention: 100)
  🌟 High-attention file: constant-clauses.scm (attention: 81)
  🌟 High-attention file: unordered.scm (attention: 100)
  🌟 High-attention file: blair-witch.scm (attention: 100)
  🌟 High-attention file: unordered-odo-equpr.scm (attention: 100)
  🌟 High-attention file: buggy-equal-unify.scm (attention: 100)
  🌟 High-attention file: quote-var.scm (attention: 100)
  🌟 High-attention file: unordered-quote.scm (attention: 100)
  🌟 High-attention file: eval-equal.scm (attention: 100)
  🌟 High-attention file: get-link-glob.scm (attention: 85)
  🌟 High-attention file: deep-types.scm (attention: 100)
  🌟 High-attention file: scope-hide.scm (attention: 100)
  🌟 High-attention file: mst-bench.scm (attention: 100)
  🌟 High-attention file: linear-parser.scm (attention: 100)
  🌟 High-attention file: sections.scm (attention: 100)
  🌟 High-attention file: make-section.scm (attention: 100)
  🌟 High-attention file: mst-parser.scm (attention: 100)
  🌟 High-attention file: linear-parser.scm (attention: 100)
  🌟 High-attention file: extents.scm (attention: 100)
  🌟 High-attention file: vo-graph.scm (attention: 100)
  🌟 High-attention file: mpg-parser.scm (attention: 100)
  🌟 High-attention file: type-utils.scm (attention: 100)
  🌟 High-attention file: logger.scm (attention: 100)
  🌟 High-attention file: randgen.scm (attention: 100)
  🌟 High-attention file: atom-cache.scm (attention: 100)
  🌟 High-attention file: types.scm (attention: 100)
  🌟 High-attention file: file-utils.scm (attention: 100)
  🌟 High-attention file: atom-docs.scm (attention: 100)
  🌟 High-attention file: utilities.scm (attention: 100)
  🌟 High-attention file: core-docs.scm (attention: 100)
  🌟 High-attention file: debug-trace.scm (attention: 93)
  🌟 High-attention file: tv.scm (attention: 100)
  🌟 High-attention file: test-runner.scm (attention: 94)
  🌟 High-attention file: opencog.scm (attention: 100)
  🌟 High-attention file: README-recursive.scm (attention: 100)
  🌟 High-attention file: python.scm (attention: 100)
  🌟 High-attention file: vector-column.scm (attention: 100)
  🌟 High-attention file: put-filter.scm (attention: 96)
  🌟 High-attention file: value-of.scm (attention: 100)
  🌟 High-attention file: group-by.scm (attention: 100)
  🌟 High-attention file: virtual.scm (attention: 100)
  🌟 High-attention file: presence.scm (attention: 100)
  🌟 High-attention file: choice.scm (attention: 100)
  🌟 High-attention file: fsm-basic.scm (attention: 100)
  🌟 High-attention file: recognizer.scm (attention: 100)
  🌟 High-attention file: dot-product.scm (attention: 95)
  🌟 High-attention file: gsn.scm (attention: 100)
  🌟 High-attention file: sequence.scm (attention: 100)
  🌟 High-attention file: gpn.scm (attention: 100)
  🌟 High-attention file: unify.scm (attention: 100)
  🌟 High-attention file: glob.scm (attention: 100)
  🌟 High-attention file: recursive.scm (attention: 100)
  🌟 High-attention file: deduction-engine.scm (attention: 100)
  🌟 High-attention file: type-signature.scm (attention: 100)
  🌟 High-attention file: gsn-truth.scm (attention: 100)
  🌟 High-attention file: filter-value.scm (attention: 100)
  🌟 High-attention file: satisfaction.scm (attention: 100)
  🌟 High-attention file: absent.scm (attention: 100)
  🌟 High-attention file: markov-chain.scm (attention: 100)
  🌟 High-attention file: always.scm (attention: 100)
  🌟 High-attention file: define.scm (attention: 100)
  🌟 High-attention file: filter-strings.scm (attention: 100)
  🌟 High-attention file: filter.scm (attention: 100)
  🌟 High-attention file: fsm-full.scm (attention: 100)
  🌟 High-attention file: query.scm (attention: 100)
  🌟 High-attention file: condition.scm (attention: 100)
  🌟 High-attention file: fsm-mealy.scm (attention: 100)
  🌟 High-attention file: sexpr-query.scm (attention: 100)
  🌟 High-attention file: except.scm (attention: 77)
  🌟 High-attention file: execute.scm (attention: 100)
  🌟 High-attention file: values.scm (attention: 100)
  🌟 High-attention file: truthvalues.scm (attention: 100)
  🌟 High-attention file: python.scm (attention: 100)
  🌟 High-attention file: flows.scm (attention: 100)
  🌟 High-attention file: persist-multi.scm (attention: 100)
  🌟 High-attention file: episodic-space.scm (attention: 100)
  🌟 High-attention file: threaded.scm (attention: 100)
  🌟 High-attention file: formulas.scm (attention: 100)
  🌟 High-attention file: queue.scm (attention: 98)
  🌟 High-attention file: flow-futures.scm (attention: 100)
  🌟 High-attention file: parallel.scm (attention: 100)
  🌟 High-attention file: flow-string.scm (attention: 100)
  🌟 High-attention file: persist-query.scm (attention: 100)
  🌟 High-attention file: flow-formulas.scm (attention: 100)
  🌟 High-attention file: get-put.scm (attention: 100)
  🌟 High-attention file: random-choice.scm (attention: 100)
  🌟 High-attention file: persist-buffer.scm (attention: 100)
  🌟 High-attention file: state.scm (attention: 100)
  🌟 High-attention file: basic.scm (attention: 100)
  🌟 High-attention file: persistence.scm (attention: 100)
  🌟 High-attention file: stream.scm (attention: 100)
  🌟 High-attention file: knowledge.scm (attention: 100)
  🌟 High-attention file: frame.scm (attention: 100)
  🌟 High-attention file: recursive-loop.scm (attention: 78)
  🌟 High-attention file: bindlink.scm (attention: 100)
  🌟 High-attention file: copy-on-write.scm (attention: 100)
  🌟 High-attention file: persist-store.scm (attention: 100)
  🌟 High-attention file: multi-space.scm (attention: 100)
  🌟 High-attention file: table.scm (attention: 100)
  🌟 High-attention file: factorial.scm (attention: 100)
  🌟 High-attention file: assert-retract.scm (attention: 100)
  🌟 High-attention file: property.scm (attention: 100)
  🌟 High-attention file: persist-file.scm (attention: 100)
  🌟 High-attention file: gperf.scm (attention: 100)
  🌟 High-attention file: logging.scm (attention: 100)
  🌟 High-attention file: persist-proxy.scm (attention: 100)
  🌟 High-attention file: cogserver.scm (attention: 100)
  🌟 High-attention file: verification-framework.scm (attention: 100)
  🌟 High-attention file: documentation-feedback-system.scm (attention: 100)
  🌟 High-attention file: emergent-phenomena-hooks.scm (attention: 100)
  🌟 High-attention file: distributed-multi-agent-framework.scm (attention: 100)
  🌟 High-attention file: distributed-cognition.scm (attention: 100)
  🌟 High-attention file: phase-ii-demonstration.scm (attention: 100)

⚡ Calculating ECAN-style Urgency Metrics...
  ⚡ High Urgency (recent changes): 80 units
  ⚠️  Medium Urgency (staged changes): 0 units
  📊 Low Urgency (base complexity): 1246 units
  🎯 Total System Urgency: 1326 units

📋 Generating ECAN Metrics JSON Report...
✅ ECAN metrics saved to: attention-metrics.json

🎉 ECAN Attention Metrics Extraction Complete!
📊 Results summary:
   - Total Attention Units: 59337
   - Files Analyzed: 649
   - Attention Hotspots: 291
   - System Urgency: 1326 units
   - Metrics File: attention-metrics.json

🧠 Ready for cognitive resource optimization and recursive enhancement!
